"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"b0085" 1277.02759838791 0.186768472257364 0.108049301976266 1.7285486240197 0.0838899114053629 0.203185831046449
"b0086" 1329.29008502853 0.211132160529852 0.0957956786398623 2.20398418308189 0.0275254564628187 0.0840945600326884
"b0087" 497.902279014892 0.235835819931404 0.127572465496676 1.84864201701541 0.0645095213410595 0.166591480111844
"b0088" 778.377858299567 0.269551416571999 0.10661672880025 2.52822816461583 0.0114639823537008 0.0416100100245437
"b0089" 645.871676263613 0.0492161561683149 0.114926951181123 0.428238595581909 0.668477419364099 0.816800656176204
"b0090" 632.57784819017 0.186828609048877 0.12599100388046 1.48287261228698 0.138108259243927 0.289550064086829
"b0091" 1022.94569994285 0.116288474440185 0.106249067513919 1.09448936504738 0.273740409146326 0.461303282079919
"b0092" 635.307613298064 0.343504873537674 0.116942083768683 2.93739313057858 0.00330984228006201 0.0143627254039778
"b0093" 723.375644815303 0.292953971736165 0.107364582906523 2.72859041413335 0.0063605651082996 0.0253229998374178
"b0094" 1463.87425167549 0.246815737770075 0.106396698897464 2.31976875530635 0.0203533901525003 0.0664791805542348
"b0095" 4107.49988804586 0.320591064797657 0.0944698887934765 3.39357936049349 0.000689855667030565 0.00374521073777105
"b0096" 4579.83229091907 0.208430718712826 0.0912169374085653 2.28500018345557 0.0223128170030104 0.0711849637608563
"b0097" 774.641002008701 -0.100282101957195 0.10432785177467 -0.961220807783782 0.33644115624668 0.533589352232774
"b0098" 2260.99210854621 -0.215013135998734 0.0988035308684165 -2.17616854487803 0.029542660022579 0.0891773284936264
"b0099" 54.245342973929 -0.454232809375865 0.289083913050792 -1.57128359230441 0.11611679065058 0.254325715682817
"b0101" 122.537370517876 -0.233685478560951 0.183985779416297 -1.2701279376174 0.204039061490238 0.380452664881663
"b0102" 361.128460833822 0.119723664524601 0.13048991523088 0.917493618666006 0.358884035308822 0.557583245101755
"b0103" 205.320667127029 -0.0900222886352427 0.153172962734299 -0.587716572352261 0.556722550024915 0.74520556111524
"b4727" 0.120235941904629 0.586742175409294 4.0804728567969 0.143792691680806 0.885664174094378 NA
"b0104" 1018.01694448743 -0.440593478656808 0.114985145508143 -3.83174258474635 0.000127238830702829 0.000828461347438178
"b0106" 46.3691837248552 -0.43983232424498 0.276153966057913 -1.59270688928922 0.111225961321523 0.246580988498179
"b0107" 48.3689575872291 0.323966456235695 0.281789816972185 1.14967410716503 0.250278122736389 0.435259327184083
"b0108" 3.57465915414742 -0.698669217850123 0.96914351189148 -0.720914095051339 0.470962370175196 NA
"b0109" 373.381210145099 0.348571738000843 0.134306091622819 2.59535315032293 0.00944937728162937 0.0354073725199877
