"","ctrl1","ctrl2","ctrl3","eth1","eth2","eth3"
"b0001",590,475,482,596,393,459
"b0002",11798,13146,11668,20408,13601,20751
"b0003",3699,4237,3402,5782,3621,5750
"b0004",3880,4841,4102,6376,4179,6467
"b0005",114,131,95,107,71,101
"b0006",161,200,192,272,154,209
"b0007",63,48,52,78,42,84
"b0008",4194,4299,4089,8487,5664,7684
"b0009",113,95,115,191,115,162
"b0010",69,77,53,105,59,100
"b0011",7,4,4,11,4,7
"b0012",0,0,0,0,0,0
"b0013",11,17,6,8,7,7
"b0014",6156,7108,7182,12063,9183,12509
"b0015",1138,1128,939,1475,1141,1536
"b0016",176,155,139,300,169,244
"b4412",0,0,0,0,0,0
"b0018",6,3,4,0,2,1
"b0019",187,203,139,300,230,274
"b0020",122,105,83,184,140,171
"b0021",815,663,649,1126,737,984
"b0022",8,8,4,4,4,1
"b0023",2872,2889,2146,2438,1990,2235
"b0024",14,17,14,28,7,17
"b0025",932,908,892,1459,1092,1333
"b0026",5034,5513,5106,8788,6156,7725
"b0027",527,528,526,865,622,759
"b0028",391,454,374,629,372,510
"b0029",581,534,484,840,603,734
"b0030",63,67,60,112,80,98
"b0031",729,864,696,855,551,653
"b0032",3394,2670,1706,2592,2236,2293
"b0033",6072,6045,3828,5177,4599,4534
"b0034",64,47,37,50,22,46
"b0035",7,21,7,23,14,21
"b0036",4,7,11,9,8,13
"b0037",65,56,44,91,55,73
"b0038",48,60,35,42,46,35
"b0039",57,65,43,54,40,33
"b0040",9,21,8,9,2,8
"b0041",6,7,5,5,5,2
"b0042",7,13,4,8,4,8
"b0043",30,30,19,22,27,27
"b0044",3,3,8,4,2,3
"b0045",15,23,9,18,12,20
"b0046",43,47,37,38,26,60
"b0047",123,134,91,178,115,152
"b0048",140,115,93,124,92,113
"b0049",266,299,245,432,328,389
"b0050",237,261,215,387,279,300
"b0051",604,684,489,1033,782,842
"b0052",852,824,543,1140,785,985
"b0053",1763,1929,1610,2613,1770,2104
"b0054",3540,3562,3305,5217,3617,4376
"b0055",137,127,107,200,177,192
"b0056",110,108,117,114,79,105
"b0057",113,132,113,153,116,136
"b0058",121,111,91,117,88,98
"b0059",528,520,467,497,311,420
"b0060",136,168,139,216,144,144
"b0061",5,10,5,8,4,13
"b0062",29,36,33,48,30,37
"b0063",8,11,14,26,13,18
"b0064",124,108,120,191,112,126
"b0065",134,169,118,215,177,193
"b0066",160,136,97,253,172,209
"b0067",249,288,189,597,427,455
"b0068",488,483,404,1174,879,881
"b0069",142,133,155,199,150,205
"b4662",48,61,51,28,26,35
"b0070",149,157,130,194,126,167
"b0071",2756,2557,3117,2297,1541,2438
"b0072",5522,5048,5843,4578,2789,5079
"b0073",3516,3480,4050,3160,2118,3572
"b0074",4316,4707,5396,4553,2980,4660
"b0075",147,120,147,124,86,96
"b0076",20,24,14,29,18,26
"b4726",1,1,0,2,0,0
"b0077",2475,2547,2681,3147,2325,2688
"b0078",845,957,807,1106,734,932
"b0080",521,530,531,680,452,644
"b0081",433,402,395,737,479,569
"b0082",532,551,590,996,630,870
"b0083",188,186,199,356,245,313
"b0084",941,967,812,1590,952,1176
"b0085",1010,1186,973,1736,1257,1712
"b0086",1122,1172,976,1981,1320,1661
"b0087",423,475,322,793,477,616
"b0088",655,651,566,1231,781,957
"b0089",614,603,471,899,596,791
"b0090",579,597,402,889,644,799
"b0091",930,953,728,1492,1025,1179
"b0092",453,549,481,945,661,858
"b0093",555,626,542,1107,750,911
"b0094",1104,1230,1202,2132,1499,1876
"b0095",3202,3312,3144,6136,4504,5131
"b0096",3740,4230,3321,6656,4803,5536
"b0097",722,744,658,1039,691,871
"b0098",2166,2369,1914,2654,2045,2516
"b0099",60,71,38,86,30,49
"b0101",132,118,101,148,113,128
"b0102",329,340,252,530,363,414
"b0103",169,212,180,268,187,235
"b4727",0,0,0,1,0,0
"b0104",1019,1014,1058,1110,852,1016
"b0106",54,50,38,58,39,40
"b0107",43,45,27,74,41,74
"b0108",3,6,3,7,2,1
"b0109",284,282,301,599,367,495
"b0110",117,95,75,163,116,125
"b0111",307,287,227,428,297,404
"b0112",2666,2777,2646,3603,2890,3557
"b0113",392,744,323,620,558,447
"b0114",11076,11753,11659,22979,19596,19300
"b0115",5920,6287,6056,11801,10019,10174
"b0116",10990,11941,10880,12373,9463,11415
"b0117",45,62,55,86,63,70
"b0118",11862,11458,10726,10278,7240,12869
"b0119",171,164,170,234,167,211
"b0120",1450,1555,1175,1768,1177,1703
"b0121",1324,1213,1029,1465,983,1431
"b0122",186,169,182,389,204,291
"b0123",258,290,276,234,167,311
"b0124",2185,2210,1854,1103,790,809
"b0125",369,339,262,447,314,436
"b0126",2460,2421,2234,3803,2734,3147
"b0127",283,362,310,424,247,415
"b0128",169,181,136,256,161,234
"b0129",56,66,57,127,65,123
"b0130",109,104,92,213,122,171
"b0131",816,712,740,1240,902,1093
"b0132",64,62,60,119,70,80
"b0133",1210,1188,1286,2609,1781,2269
"b0134",780,725,754,1465,1020,1294
"b0135",24,31,19,35,16,25
"b0136",5,13,2,17,13,10
"b0137",12,18,16,22,10,19
"b0138",6,15,10,15,4,18
"b0139",23,19,18,22,15,27
"b0140",4,3,4,8,1,6
"b0141",2,6,1,4,2,1
"b0142",180,168,151,283,186,203
"b0143",1522,1496,1358,2037,1629,1664
"b0144",116,113,80,113,58,101
"b0145",1272,1280,1354,1287,893,1152
"b0146",394,336,358,351,291,338
"b0147",58,57,74,120,80,79
"b0148",252,264,219,522,340,413
"b0149",615,651,587,1052,716,869
"b0150",4169,3976,3990,4916,3259,4468
"b0151",609,595,478,711,442,661
"b0152",355,322,255,364,272,335
"b0153",548,611,413,653,390,558
"b0154",1104,1101,1029,2150,1571,1929
"b0155",242,250,214,371,264,306
"b4728",15,15,13,31,18,27
"b0156",398,357,316,527,395,431
"b0157",96,79,71,165,83,128
"b0158",198,198,158,365,205,271
"b0159",626,619,587,987,744,935
"b0160",240,244,244,331,272,323
"b0161",890,925,1010,1843,1363,1710
"b0162",65,50,37,104,77,96
"b0163",409,449,539,571,403,521
"b0164",76,58,48,131,83,105
"b0166",2811,3273,2840,4486,2949,3643
"b0167",851,881,795,1514,1085,1287
"b0168",1111,1183,1052,1510,1046,1266
"b0169",9831,11179,9234,10701,7695,9242
"b0170",3746,4275,3746,4204,3255,3650
"b0171",939,999,790,1509,1185,1314
"b0172",2151,2162,2193,3096,2358,2852
"b0173",329,314,263,502,342,467
"b0174",621,641,512,585,429,483
"b0175",445,451,358,507,345,436
"b0176",1160,1213,1008,1476,1040,1277
"b0177",4970,5328,4696,6400,4641,5115
"b0178",1806,1952,1806,2259,1722,1894
"b0179",3223,3414,2968,4035,2881,3312
"b0180",931,945,766,1174,853,1069
"b0181",1180,1341,1238,1742,1252,1535
"b0182",617,624,550,789,586,719
"b0183",262,259,176,237,183,282
"b0184",1118,1190,1000,1185,856,1066
"b0185",1263,1254,1003,1568,1053,1374
"b0186",231,219,218,253,157,195
"b0187",71,67,70,71,72,62
"b0188",363,348,263,441,335,421
"b0189",132,145,160,209,136,162
"b4406",127,99,137,123,85,120
"b0190",87,99,68,162,127,136
"b0191",84,69,77,133,68,101
"b0192",145,146,171,256,209,233
"b0193",40,38,20,48,36,38
"b0194",2316,2679,2237,4411,3234,3862
"b0195",244,197,187,431,291,345
"b0196",401,332,265,559,440,550
"b0197",3509,3644,2935,5715,3965,4618
"b0198",625,600,464,1016,758,721
"b0199",713,708,611,1361,1036,968
"b0200",209,227,210,441,310,320
"b0207",108,134,102,210,136,144
"b0208",85,97,122,183,129,173
"b0209",502,476,534,1190,865,911
"b0210",79,108,60,168,114,138
"b0211",1804,1892,1721,1540,1119,1299
"b0212",215,189,216,263,193,233
"b0213",116,137,105,296,197,201
"b0214",121,118,84,187,132,139
"b0215",196,191,205,365,236,289
"b0217",3,18,13,9,11,9
"b4586",2,10,1,11,6,2
"b0219",95,118,131,206,109,176
"b0220",395,447,425,988,738,829
"b0221",264,278,217,187,108,164
"b0222",484,509,489,970,721,845
"b0223",520,529,514,843,552,709
"b0224",545,573,471,766,538,611
"b0225",168,194,102,277,192,216
"b0226",136,120,149,182,119,136
"b0227",22,25,9,13,14,28
"b0228",41,35,32,76,48,72
"b0231",105,95,96,158,112,131
"b0232",20,23,28,33,38,47
"b0233",33,42,40,58,35,56
"b0234",27,23,21,58,18,38
"b0237",2100,2110,2247,4794,3418,4168
"b0238",261,177,146,282,251,244
"b0239",240,252,204,580,406,495
"b4710",120,109,71,144,108,133
"b4709",6,4,3,9,3,2
"b0241",7,14,9,22,11,11
"b0242",1076,927,962,1715,1186,1460
"b0243",1020,977,958,1685,1159,1508
"b0245",19,23,13,21,11,16
"b0246",11,9,4,19,8,16
"b4504",1,4,1,7,5,1
"b0247",11,19,9,21,12,24
"b0248",43,70,35,86,56,58
"b0249",17,31,10,28,17,14
"b0250",302,355,365,264,184,243
"b0251",37,41,32,41,27,20
"b0252",36,21,30,71,52,45
"b0253",57,78,40,88,64,82
"b0254",40,41,37,56,50,60
"b0256",145,204,162,348,239,268
"b0258",100,84,101,158,134,116
"b0259",37,37,23,58,25,25
"b0260",142,121,74,137,100,99
"b0261",186,170,118,257,154,163
"b0262",35,32,10,30,23,18
"b0264",84,105,75,139,95,116
"b0265",7,3,1,4,3,4
"b0266",52,48,36,122,72,110
"b0267",3,13,4,20,7,15
"b0268",13,11,14,56,30,58
"b0269",42,60,45,134,76,113
"b0270",30,27,33,59,42,46
"b0271",118,115,85,185,113,124
"b0272",237,218,124,229,172,139
"b0273",1168,907,551,1060,825,562
"b4688",6,11,3,4,0,7
"b0274",75,63,52,88,55,83
"b0275",15,27,12,6,3,3
"b0276",23,24,30,53,21,58
"b0277",18,33,16,47,34,39
"b0278",13,14,14,21,17,14
"b0279",7,10,6,13,6,14
"b4729",5,6,2,11,3,5
"b0280",246,204,208,554,294,378
"b0281",320,318,310,554,345,451
"b0282",20,20,14,34,21,12
"b0283",31,19,18,31,21,26
"b0284",74,60,34,89,40,62
"b0285",22,12,18,38,22,23
"b0286",14,11,15,13,11,14
"b0287",1052,1041,1001,1120,805,780
"b0288",44,48,39,56,49,46
"b0289",37,22,26,48,35,45
"b0290",43,64,42,106,49,81
"b0291",46,55,42,72,43,57
"b0292",11,17,14,12,8,18
"b0293",48,63,42,65,58,69
"b0294",5,10,2,11,1,7
"b0295",8,4,8,9,5,10
"b4506",13,7,6,8,9,9
"b0296",8,11,6,5,7,6
"b4671",0,5,0,10,1,2
"b0298",11,11,15,37,26,17
"b0299",23,12,16,31,33,31
"b0301",15,18,9,9,14,14
"b0303",3,2,3,8,4,5
"b0304",52,45,29,66,31,32
"b0305",23,19,18,32,9,23
"b0306",4,17,5,18,8,10
"b0307",46,41,37,76,54,74
"b0308",33,30,36,56,31,46
"b0310",12,6,4,6,4,4
"b0311",343,310,243,317,178,254
"b0312",420,415,381,457,316,379
"b0313",208,197,173,217,121,205
"b0314",153,175,165,145,130,149
"b4730",1,0,0,0,0,3
"b0315",160,143,131,78,34,57
"b0316",80,78,66,116,60,93
"b0317",11,6,3,11,1,8
"b0318",9,11,23,17,10,12
"b0319",4,3,1,7,4,6
"b0320",17,21,12,24,9,19
"b0321",18,18,31,30,20,34
"b0322",5,5,5,7,2,9
"b0323",12,13,8,10,16,16
"b0324",142,117,141,251,164,189
"b0325",395,337,383,350,234,277
"b0326",4,8,1,14,1,3
"b0327",11,10,11,6,4,15
"b0328",3,16,9,19,14,14
"b0329",212,142,150,131,114,84
"b0330",28,23,36,35,16,28
"b0331",7,14,2,9,3,11
"b0333",12,9,3,12,7,13
"b0334",8,14,7,8,7,15
"b0335",26,19,25,30,19,27
"b0336",1185,850,665,470,448,593
"b0337",1678,1601,1132,1011,884,1120
"b0338",62,52,36,61,43,58
"b0339",15,24,10,37,20,24
"b0340",20,9,17,40,33,25
"b0341",24,17,15,45,25,38
"b0342",11,12,13,29,14,36
"b0343",20,14,18,27,11,14
"b0344",40,53,46,55,39,37
"b0345",227,238,201,257,182,235
"b0346",214,182,146,150,80,109
"b0347",11,23,11,11,9,9
"b0348",4,10,12,4,6,12
"b0349",21,18,29,15,14,24
"b0350",18,19,14,24,16,22
"b0351",23,33,25,30,6,16
"b0352",37,37,22,25,32,22
"b0353",32,25,28,37,34,46
"b0354",119,132,108,194,121,173
"b0355",147,167,146,304,193,286
"b0356",412,454,390,1399,906,1366
"b0357",91,94,84,277,204,247
"b0358",15,11,6,25,16,15
"b0360",14,16,8,31,13,24
"b0361",81,94,74,176,120,139
"b0363",27,20,12,21,13,19
"b4731",0,1,0,0,0,0
"b0364",3,6,2,3,2,6
"b0365",17,20,11,37,30,46
"b0366",7,25,14,39,24,28
"b0367",13,12,6,20,12,23
"b0368",37,23,29,69,41,58
"b0369",558,535,698,1055,800,947
"b0372",62,46,53,105,79,93
"b0373",1,2,1,2,3,1
"b0375",8,22,4,17,10,8
"b0376",220,228,177,397,222,319
"b0377",122,136,100,185,104,148
"b0378",155,151,136,238,162,197
"b0379",20,25,14,40,30,34
"b0380",21,23,15,62,39,47
"b0381",309,320,328,556,413,467
"b0382",209,199,228,353,197,277
"b0383",207,247,249,445,264,361
"b0384",65,55,53,78,58,58
"b0385",38,35,22,43,35,55
"b0386",277,217,247,280,204,314
"b0387",61,69,53,133,99,114
"b0388",678,838,487,998,726,799
"b0389",351,381,297,444,364,418
"b0390",104,87,70,101,54,74
"b0391",281,294,239,327,204,267
"b4732",28,15,7,29,14,31
"b0393",299,252,269,418,321,369
"b0394",155,133,129,192,158,154
"b0396",87,87,73,159,104,104
"b0397",374,375,304,673,456,545
"b0398",158,146,143,267,174,260
"b0399",83,112,97,208,175,196
"b0400",102,92,82,216,115,186
"b0401",336,351,304,327,258,265
"b0402",263,230,177,254,184,220
"b0403",180,189,213,401,290,312
"b0404",72,82,59,170,134,110
"b0405",251,237,207,315,206,305
"b0406",737,831,644,901,638,853
"b0407",894,921,874,1367,969,1288
"b0408",2014,2138,2006,3168,2129,2797
"b0409",985,1073,868,1408,982,1228
"b0410",109,80,119,118,65,84
"b0411",1043,996,878,1477,1073,1450
"b0412",21,18,22,48,17,31
"b0413",215,231,231,385,270,360
"b0414",524,628,536,1103,768,928
"b0415",744,673,590,1295,953,1229
"b0416",733,771,561,1511,1005,1346
"b0417",352,261,261,466,303,406
"b0418",262,318,262,445,317,360
"b0419",375,337,324,403,257,322
"b0420",990,1054,805,1498,1038,1349
"b0421",613,648,505,1084,751,933
"b0422",202,163,147,336,239,325
"b0423",385,390,324,584,460,544
"b0424",140,185,194,297,198,251
"b0425",231,219,219,369,256,305
"b0426",737,809,713,1216,1014,1009
"b0427",140,126,114,231,156,181
"b0428",2974,3195,3060,6044,4343,5716
"b0429",1026,1024,940,1929,1327,1814
"b0430",1795,2062,1781,3588,2544,3656
"b0431",7607,8263,7549,14607,10982,14588
"b0432",4725,5119,4663,9299,6814,8933
"b0433",469,424,302,509,312,395
"b0434",612,490,507,780,616,686
"b0435",376,435,421,382,231,323
"b0436",5518,6196,5317,5495,4265,4997
"b0437",1298,1390,1355,1797,1293,1548
"b0438",2868,3061,2989,4212,3120,3805
"b0439",2557,2981,2656,4219,3093,3814
"b0440",2304,2439,2165,3469,2594,2775
"b0441",1930,1866,1916,2886,2046,2437
"b0442",34,20,25,33,24,50
"b0443",22,31,30,44,20,34
"b0444",214,212,203,341,185,270
"b0445",68,69,53,111,93,106
"b0446",93,73,71,110,90,89
"b0447",56,53,34,52,55,63
"b0448",97,115,92,169,99,100
"b0449",89,110,60,127,70,87
"b0450",10,24,16,6,5,3
"b0451",115,146,134,134,90,104
"b0452",160,169,107,221,168,196
"b0453",469,404,431,281,186,224
"b0454",71,75,74,147,82,85
"b0456",23,31,15,30,17,18
"b0457",94,94,84,181,120,118
"b0458",165,176,144,518,376,565
"b0459",174,169,151,189,117,189
"b0460",398,357,318,506,380,452
"b0461",147,137,126,181,115,185
"b0462",2745,2866,2538,4451,3111,3758
"b0463",1491,1461,1528,2403,1755,2101
"b0464",112,98,126,195,121,156
"b0465",569,679,564,1163,781,1061
"b0466",51,42,51,70,48,74
"b0467",99,89,112,159,126,164
"b0468",223,188,159,368,252,252
"b0469",706,602,537,559,405,469
"b0470",861,854,733,1260,881,1127
"b0471",651,674,598,986,724,896
"b0472",688,702,582,1266,877,1074
"b0473",1517,1829,1789,2780,2178,2998
"b0474",1475,1551,1346,2103,1575,2104
"b0475",116,103,97,179,117,143
"b0476",41,37,31,54,37,42
"b0477",332,360,318,521,374,475
"b0478",496,490,405,499,356,380
"b0479",121,151,107,159,156,180
"b0480",546,621,601,910,577,800
"b0481",163,164,154,201,136,180
"b0482",110,182,109,288,222,240
"b0483",139,138,149,266,230,219
"b0484",860,936,885,606,406,968
"b0485",66,49,61,115,59,77
"b0486",41,43,31,95,43,78
"b0487",114,129,118,237,149,178
"b0488",105,115,90,164,84,138
"b0489",150,164,192,228,158,189
"b0490",90,109,108,164,130,178
"b0491",106,98,104,147,100,155
"b0492",914,867,981,1804,1258,1633
"b0493",339,312,258,431,326,411
"b0494",176,208,207,457,214,343
"b0495",96,86,92,190,120,152
"b0496",179,179,142,337,211,304
"b0497",149,136,140,226,132,189
"b0498",35,40,49,61,39,45
"b0502",20,23,24,53,27,43
"b0503",53,65,55,137,76,134
"b0504",8,12,3,6,4,9
"b0505",6,7,8,19,11,14
"b0506",539,557,554,901,627,765
"b0507",20,30,16,40,18,24
"b0508",11,13,4,14,5,6
"b0509",8,14,9,18,10,11
"b0511",9,10,4,14,2,2
"b0512",24,17,19,48,27,36
"b0513",11,10,5,16,10,20
"b0514",37,37,30,61,42,56
"b0515",122,95,112,221,160,196
"b0516",58,47,57,82,59,66
"b0517",4,17,1,7,4,8
"b0518",4,14,7,16,9,6
"b4572",10,5,10,21,8,20
"b0520",4,10,8,6,8,13
"b0521",73,76,73,96,66,78
"b0522",1008,1066,782,1813,1288,1592
"b0523",519,416,344,766,491,623
"b0524",266,215,200,329,231,227
"b0525",1610,1667,1580,2558,1886,2320
"b0526",707,676,624,959,680,857
"b0527",68,55,31,79,51,46
"b0528",164,160,150,264,177,214
"b0529",684,713,625,1202,968,1010
"b0530",5,4,3,8,4,1
"b0531",1,9,0,3,4,3
"b0532",23,28,17,43,24,27
"b0533",2,5,7,8,1,3
"b0534",4,5,3,5,7,4
"b0535",10,9,10,6,8,8
"b0537",277,264,235,484,290,365
"b0540",72,73,59,117,99,103
"b0541",88,88,71,174,112,127
"b0543",47,46,34,76,31,77
"b4733",2,2,2,6,0,2
"b0544",8,27,6,14,3,14
"b0545",16,10,8,39,26,28
"b0546",50,76,51,149,82,141
"b4588",0,1,0,2,3,3
"b0547",0,2,2,0,4,0
"b0548",1,0,1,0,1,0
"b0549",2,1,1,2,0,1
"b0550",0,0,2,1,0,2
"b4509",2,2,0,2,0,1
"b0551",11,7,0,10,3,13
"b0552",14,24,19,48,30,23
"b0554",16,11,12,22,12,13
"b0555",21,17,24,32,19,31
"b0556",22,24,22,27,13,26
"b4510",0,0,0,0,0,0
"b0557",232,248,221,176,146,160
"b0558",1,7,0,12,2,3
"b0559",5,7,10,19,13,9
"b4589",1,5,8,4,1,9
"b0560",6,8,5,11,5,11
"b0561",4,4,3,3,3,4
"b0563",9,3,3,3,0,1
"b0564",63,59,48,109,75,105
"b0565",20055,22210,17863,44791,29761,37102
"b0566",26,16,13,42,30,37
"b0567",31,36,37,71,47,68
"b0568",119,132,124,275,184,230
"b0569",38,46,39,78,50,56
"b0570",98,126,100,174,89,133
"b0571",87,85,68,99,84,97
"b0572",108,63,86,15,13,44
"b0573",58,61,63,15,9,36
"b0574",93,65,79,14,15,35
"b0575",109,81,97,70,38,77
"b0576",187,198,133,323,215,239
"b0577",172,184,175,276,216,255
"b0578",451,366,405,636,440,564
"b0579",60,51,56,128,78,80
"b0580",28,33,19,33,14,26
"b0581",113,90,92,97,55,74
"b4415",0,4,5,0,1,0
"b0582",393,421,353,669,448,577
"b0583",1226,1415,1113,1388,1082,1081
"b0584",15857,20080,16879,20301,14528,14665
"b0585",1780,1686,1571,3367,2330,2494
"b4511",413,428,509,874,624,612
"b0586",10162,12055,9570,21444,15163,15192
"b0587",86,95,62,135,90,95
"b0588",338,399,326,715,467,513
"b0589",185,219,177,350,227,284
"b0590",290,283,296,455,364,418
"b0591",611,516,488,853,587,706
"b0592",956,876,742,1553,1055,1457
"b0593",4960,5267,4326,9186,6745,7338
"b0594",5230,5796,4512,9745,7094,7529
"b0595",3216,3946,3325,6339,4717,5254
"b0596",2273,2618,2042,4398,3208,3536
"b0597",1338,1799,1419,2800,1980,2284
"b0598",1486,1678,1270,2270,1543,1879
"b4512",44,40,34,85,43,53
"b0599",209,213,137,357,237,245
"b0600",143,139,89,209,133,156
"b0601",54,50,37,64,37,53
"b0602",21,16,8,15,10,21
"b0603",27,22,18,28,18,23
"b0604",162,182,153,200,166,240
"b0605",10031,9925,9204,19090,12704,15763
"b0606",1156,1313,1205,2294,1494,2020
"b0607",231,264,363,289,244,366
"b0608",49,45,37,75,55,59
"b4734",3,6,6,8,2,5
"b0610",150,140,133,191,133,142
"b0611",298,345,303,576,376,523
"b0612",20,21,15,30,16,22
"b0613",7,5,5,10,9,9
"b0614",4,10,2,9,2,1
"b0615",5,9,4,14,8,10
"b0616",13,13,8,17,16,19
"b0617",0,0,0,3,1,3
"b0618",6,8,6,12,3,10
"b0619",94,86,78,142,106,137
"b0620",48,38,43,107,59,76
"b0621",15,36,49,46,26,33
"b0622",24,25,11,33,13,17
"b0623",5636,5857,3626,6742,4582,5505
"b0624",64,67,45,91,68,103
"b0627",185,149,170,264,204,237
"b0628",438,476,432,614,516,580
"b0629",27,34,19,55,39,52
"b0630",222,205,221,381,268,303
"b0631",255,196,184,414,256,337
"b0632",925,790,777,1124,780,1002
"b0633",980,988,921,1133,927,1158
"b0634",216,241,136,224,173,205
"b0635",506,423,325,531,325,381
"b0636",261,212,174,345,239,281
"b0637",297,220,203,309,248,286
"b0638",113,163,88,162,107,130
"b0639",288,299,232,426,266,336
"b0640",515,449,429,779,513,605
"b0641",742,710,668,1035,712,860
"b0642",3195,3422,2960,5275,3696,4827
"b0643",283,287,295,276,174,220
"b0644",59,58,67,54,47,48
"b0645",0,3,4,3,0,1
"b0646",15,15,18,18,20,24
"b0647",1,2,3,4,1,2
"b0648",9,4,7,6,3,6
"b0649",27,35,30,54,54,43
"b0650",26,26,27,63,25,30
"b0651",129,188,120,365,234,308
"b0652",232,239,221,356,227,264
"b0653",132,138,101,210,152,157
"b0654",162,177,132,230,169,225
"b0655",1248,1308,1358,2751,1919,2439
"b0656",7,9,5,11,4,8
"b0657",574,651,441,710,537,618
"b0658",1560,1736,1453,2788,1906,2495
"b0659",331,292,279,565,394,515
"b0660",1054,1127,995,1684,1180,1495
"b0661",570,516,457,814,559,800
"b0662",345,372,334,730,491,583
"b0674",1206,1206,1315,1892,1242,1510
"b0675",464,539,411,706,477,575
"b0676",701,773,613,1188,807,1067
"b0677",375,402,331,649,439,491
"b0678",285,275,271,513,337,355
"b0679",674,698,711,1077,811,876
"b0680",2207,2271,2193,3245,2434,2873
"b0681",11,17,13,22,11,19
"b0682",4,8,5,5,9,16
"b0683",1274,1323,1181,1924,1301,1603
"b4637",77,112,102,142,109,110
"b0684",771,742,671,1077,767,978
"b0685",55,46,31,58,60,52
"b0686",130,172,119,278,157,244
"b0687",747,692,696,1214,827,1042
"b0688",2117,2174,2038,3118,2201,2684
"b0689",47,43,24,38,19,18
"b0692",35,38,31,58,36,49
"b0693",21,16,17,43,22,26
"b4590",2,0,1,1,0,0
"b0694",75,63,61,105,76,94
"b0695",199,210,199,396,267,349
"b0696",12,10,6,14,15,19
"b0697",37,28,15,44,16,39
"b0698",5,15,14,21,5,12
"b4513",0,0,0,0,0,0
"b0699",50,49,64,95,87,79
"b0700",108,120,104,186,126,156
"b0702",1,8,0,13,3,7
"b0704",7,19,13,17,11,12
"b4514",2,3,3,3,1,4
"b0706",5,10,4,11,4,6
"b0707",66,71,42,83,42,58
"b0708",138,143,117,193,131,133
"b0709",107,116,71,170,99,123
"b0710",668,667,721,1043,747,950
"b0711",599,562,566,892,608,680
"b0712",606,644,622,935,753,856
"b0713",351,379,339,561,401,476
"b0714",199,189,174,343,213,287
"b0715",76,91,58,130,87,95
"b0716",36,39,23,61,39,29
"b0717",10,5,6,10,4,11
"b0718",14,25,8,35,27,14
"b0719",4,5,2,7,4,2
"b0720",8681,10011,8696,7828,5186,8166
"b4735",39,32,23,21,6,11
"b0721",654,706,418,289,179,426
"b0722",421,425,263,208,141,230
"b0723",2614,2776,1925,1160,829,1731
"b0724",1286,1287,982,484,404,817
"b0726",8949,9908,7935,6548,4692,8320
"b0727",5463,5766,4421,3792,2710,4604
"b0728",5622,6177,5263,3838,2625,4858
"b0729",4690,5063,4248,3103,2088,3915
"b0730",54,86,65,84,65,101
"b0731",6,9,8,19,6,5
"b0732",89,107,60,140,101,142
"b0733",1115,1039,1827,6341,4911,6045
"b0734",813,811,1436,4412,3365,4156
"b4515",37,56,85,264,190,232
"b0735",89,96,84,309,224,296
"b0736",199,171,123,281,198,237
"b0737",477,459,376,792,591,661
"b0738",152,167,128,289,200,218
"b0739",485,540,396,774,568,612
"b0740",2542,2406,2237,3670,2776,3110
"b0741",4232,4573,4281,5643,4015,4568
"b0742",2100,2334,1625,3146,2234,2668
"b0750",610,767,731,808,625,746
"b0751",331,490,417,459,353,419
"b0752",196,163,165,282,181,211
"b0753",94,79,68,85,57,66
"b0754",3744,4314,3549,5331,3895,4828
"b0755",6273,7355,6832,16453,12500,10869
"b0756",1148,1147,1149,1679,1148,1388
"b0757",467,519,500,475,407,401
"b0758",286,322,256,288,208,263
"b0759",299,362,331,372,236,338
"b0760",927,1049,857,1656,1146,1579
"b0761",172,180,149,387,237,278
"b0762",61,76,73,68,48,29
"b0763",456,522,589,260,194,236
"b0764",330,352,322,234,172,192
"b0765",382,425,401,308,291,275
"b0766",186,207,160,242,197,229
"b0767",789,739,772,1387,948,1127
"b0768",28,40,27,58,18,37
"b0769",1,5,4,3,1,4
"b0770",2,12,7,8,4,9
"b0771",54,52,38,100,58,77
"b0772",838,811,767,1120,791,1009
"b0773",177,222,182,673,467,418
"b0774",244,312,179,1946,1369,905
"b0775",317,398,301,2128,1246,1075
"b0776",192,234,153,1095,723,568
"b0777",110,153,72,503,344,308
"b0778",110,163,97,529,390,327
"b0779",460,549,476,1235,938,952
"b0780",204,180,197,268,203,212
"b0781",342,360,409,591,411,553
"b0782",276,344,426,739,525,626
"b0783",376,338,426,731,575,646
"b0784",58,94,82,186,112,139
"b0785",265,322,270,662,473,507
"b0786",387,341,349,559,389,447
"b0787",24,21,12,31,18,16
"b0788",33,47,34,37,35,29
"b0789",100,108,109,85,62,72
"b0790",84,60,66,57,44,35
"b0791",31,25,24,40,25,34
"b0792",79,97,55,103,68,92
"b0793",89,84,63,110,59,81
"b0794",252,250,268,293,232,304
"b0795",210,199,248,260,149,171
"b0796",74,67,85,65,57,71
"b0797",310,338,238,256,200,256
"b0798",23,21,23,41,16,15
"b0799",138,227,106,223,162,179
"b0800",482,440,543,677,504,621
"b0801",1679,1516,1606,2023,1356,1652
"b0802",136,139,104,167,128,143
"b0803",266,330,268,257,215,232
"b0804",1970,2174,1496,1723,1333,1423
"b0805",18168,22239,15846,14896,10735,13503
"b0806",35,31,42,53,38,32
"b0807",199,225,168,195,160,185
"b0808",111,111,70,105,78,85
"b0809",383,454,446,769,529,657
"b0810",395,395,390,766,542,675
"b0811",1628,1686,1613,2533,1605,2328
"b0812",3680,3030,3339,1697,1302,1752
"b0813",39,54,29,42,22,37
"b4736",292,222,184,370,284,245
