"","ctrl1","ctrl2","ctrl3","eth1","eth2","eth3"
"b3320",10988,12020,9473,11771,8689,10236
"b3321",9623,9854,7368,9463,7148,8442
"b3322",24,35,45,41,26,41
"b3323",17,16,19,17,10,15
"b3324",9,11,6,16,3,11
"b3325",58,85,40,83,38,54
"b3326",23,42,28,28,10,18
"b3327",21,35,21,52,19,20
"b3328",6,8,3,5,4,3
"b3329",1,3,1,5,6,1
"b3330",3,4,3,7,3,3
"b3331",9,14,7,10,7,11
"b3332",14,29,16,30,16,26
"b3333",34,47,22,66,39,65
"b3334",11,21,11,26,13,27
"b3335",59,74,47,82,42,66
"b3336",296,296,203,482,345,403
"b3337",160,130,108,332,208,210
"b3338",108,116,94,165,102,137
"b3339",14902,15441,10516,17519,12541,15977
"b3340",40537,45024,37694,49765,37359,45114
"b3341",9611,10344,7471,11537,8664,10315
"b3342",6538,6358,5142,7348,5334,6600
"b3343",140,105,107,220,158,180
"b3344",114,113,84,247,147,208
"b3345",211,228,215,463,277,325
"b3346",553,630,628,1215,828,1021
"b3347",1074,1206,1134,1669,1231,1447
"b3348",37,50,46,46,38,54
"b3349",2126,2228,2051,2688,2068,2403
"b4551",104,121,79,117,61,85
"b3350",215,230,186,310,204,252
"b3351",120,127,82,153,114,131
"b3352",577,641,582,773,542,688
"b3353",187,212,149,271,179,267
"b3354",42,50,21,57,27,25
"b3355",386,408,433,730,445,628
"b3356",321,347,361,435,345,430
"b3357",2145,2200,2156,3326,2473,2938
"b3358",716,705,557,1048,645,810
"b3359",1178,1142,727,1512,1108,909
"b3360",66,68,61,73,60,55
"b3361",109,129,115,109,78,90
"b3362",18,11,10,31,13,23
"b3363",317,319,254,770,561,668
"b3364",221,187,167,130,94,95
"b3365",62,42,238,30,29,44
"b3366",7,5,19,3,4,8
"b3367",19,30,48,28,22,16
"b3368",300,359,360,451,313,374
"b3369",8,5,4,8,5,5
"b3370",11,16,10,23,10,25
"b3371",13,16,10,24,14,21
"b4474",14,17,13,30,8,19
"b3374",18,25,11,28,32,30
"b3375",76,74,76,183,122,162
"b3376",23,33,39,52,37,42
"b3377",14,23,22,37,18,33
"b3378",6,9,8,11,6,10
"b3379",10,16,10,16,14,21
"b3380",12,8,6,22,9,11
"b3381",5,15,5,9,7,8
"b3382",9,16,7,31,13,12
"b3383",28,35,22,68,44,27
"b3384",1114,1096,1082,1803,1237,1565
"b3385",681,644,659,1013,789,942
"b3386",465,492,472,777,475,689
"b3387",405,470,308,533,387,507
"b3388",2384,2294,2116,3484,2338,2883
"b3389",1582,1801,1542,2634,1819,2256
"b3390",1011,1026,978,1371,951,1240
"b3391",31,29,20,49,25,38
"b3392",1,3,11,6,4,4
"b3393",6,11,1,3,7,3
"b3394",8,10,10,8,12,5
"b3395",18,23,22,41,34,36
"b3396",406,459,321,582,401,456
"b3397",358,320,312,467,300,394
"b3398",340,376,377,516,369,407
"b3399",172,170,167,251,171,227
"b3400",122,136,122,241,146,235
"b3401",382,441,379,680,498,634
"b3402",91,112,89,161,106,147
"b3403",797,809,797,2175,1625,2061
"b3404",321,329,307,528,372,411
"b3405",400,374,425,606,417,536
"b3406",78,76,93,140,119,128
"b3407",1082,1219,1027,1482,1021,1298
"b3408",138,240,267,595,473,524
"b3409",1032,1013,1834,4431,3300,3501
"b3410",195,187,294,705,450,533
"b3411",34,36,33,74,40,42
"b3412",109,113,83,197,154,187
"b3413",129,132,146,228,141,184
"b3414",1516,1494,1177,2997,1881,2451
"b3415",105,180,138,182,169,153
"b3416",419,582,514,1256,801,1090
"b3417",651,817,867,2249,1584,2095
"b3418",1628,1969,1667,4092,2638,3738
"b4475",122,137,116,230,127,172
"b3421",43,65,53,78,39,64
"b3422",58,61,58,79,42,62
"b3424",390,434,335,465,344,383
"b3425",138,134,135,331,185,212
"b3426",11554,12906,10402,19879,13947,16798
"b3427",767,900,698,919,572,813
"b3428",2328,2442,2290,3080,2013,2534
"b3429",1565,1805,1587,2397,1538,1908
"b3430",2247,2318,2451,2992,2074,2495
"b3431",1602,1751,1430,2191,1457,1814
"b3432",3395,3619,3567,4821,3352,4057
"b3433",9138,10074,9036,11234,7650,9511
"b3434",49,41,50,90,81,86
"b4476",46,52,65,93,60,65
"b3437",29,25,20,33,22,31
"b3438",345,320,271,587,427,495
"b3439",63,79,70,144,75,113
"b3440",360,451,410,694,443,589
"b3441",62,40,46,42,28,42
"b3442",5,20,4,16,5,6
"b3444",44,44,34,98,50,56
"b3445",148,119,84,197,128,158
"b4612",0,3,4,2,1,0
"b3446",12,9,4,11,5,5
"b3447",261,210,201,232,167,208
"b3448",55,57,65,64,37,61
"b3449",136,149,126,202,120,134
"b3450",143,140,104,105,88,97
"b3451",29,43,29,33,19,22
"b3452",58,46,30,25,13,26
"b3453",322,314,341,205,131,186
"b3454",1430,1586,1487,1215,902,1145
"b3455",1246,1404,1213,1111,761,921
"b3456",2071,2142,1932,1783,1176,1384
"b3457",1691,1872,1684,1394,1108,1275
"b3458",3755,3855,3740,3163,2210,2683
"b3459",152,155,130,144,76,117
"b3460",15049,14815,13498,16163,10947,13130
"b3461",756,894,759,1480,1030,1263
"b3462",460,443,384,582,430,521
"b3463",383,332,347,602,384,485
"b3464",857,851,803,1283,860,1051
"b3465",96,108,94,186,136,160
"b3466",36,52,34,73,50,67
"b3467",47,40,44,80,38,85
"b3468",132,133,127,237,133,216
"b3469",174,186,171,368,168,333
"b3470",48,48,35,96,54,77
"b3471",54,55,22,63,41,51
"b3472",392,475,434,691,455,606
"b3473",177,208,154,362,245,295
"b3474",77,55,72,73,36,56
"b3475",174,156,125,181,125,179
"b3476",24,16,18,15,7,10
"b3477",9,8,14,3,9,4
"b3478",9,9,4,4,5,5
"b3479",7,12,11,13,2,6
"b3480",18,14,11,13,7,10
"b3481",82,68,85,117,66,73
"b3482",70,88,68,119,63,90
"b3483",0,18,6,11,3,5
"b3484",11,33,18,33,15,29
"b3485",365,375,312,604,442,502
"b3486",1065,1103,1031,2034,1374,1830
"b3487",639,651,758,1206,816,976
"b3488",24,31,21,44,25,30
"b3491",32,28,18,30,10,14
"b3492",199,247,217,373,227,323
"b3493",1136,1117,966,1025,746,873
"b3494",110,107,119,123,93,91
"b3495",3839,3850,4650,6174,4410,5426
"b3496",77,61,64,69,45,62
"b3497",135,112,146,169,139,129
"b3498",974,1015,970,1533,1098,1393
"b3499",224,220,179,378,229,315
"b3500",751,828,819,1373,959,1150
"b4613",481,607,445,868,463,604
"b3501",3,11,10,13,9,9
"b3502",32,30,30,40,25,41
"b3503",20,16,30,40,26,31
"b3505",27,33,29,48,25,49
"b3506",32,63,60,201,154,149
"b3507",12,14,6,32,21,13
"b3508",33,26,7,59,34,37
"b3509",260,261,261,735,515,496
"b3510",310,256,268,767,496,513
"b3511",72,77,81,202,139,167
"b3512",17,36,27,114,78,73
"b3513",21,30,37,84,60,60
"b3514",91,110,87,242,148,167
"b3515",152,129,143,423,286,349
"b3516",60,106,90,378,195,319
"b3517",88,89,109,181,134,123
"b3518",22,30,26,39,31,22
"b3519",206,253,220,311,173,237
"b3520",29,38,20,49,31,36
"b3521",42,65,56,108,81,106
"b3522",156,127,129,163,140,143
"b3523",3568,3424,3362,3128,2165,2912
"b3524",946,1033,932,724,572,500
"b3525",1299,1368,1258,1060,1015,753
"b3526",241,265,256,472,286,393
"b3527",350,419,331,579,436,500
"b3528",231,240,217,391,303,485
"b3529",248,190,220,385,228,255
"b3530",180,209,185,347,228,233
"b3531",35,35,20,45,21,42
"b3532",66,75,54,121,59,89
"b3533",51,58,39,87,46,55
"b3535",127,108,176,185,133,164
"b3536",680,633,644,1413,875,1383
"b3537",43,42,37,94,58,113
"b3538",394,373,305,776,448,643
"b4453",27,25,23,59,35,33
"b3539",175,195,153,161,124,154
"b3540",351,327,288,297,205,433
"b3541",444,421,374,392,280,606
"b3542",246,253,195,253,200,336
"b3543",458,379,327,470,315,560
"b3544",11979,12135,12551,26920,19599,24185
"b3546",124,146,92,311,180,214
"b3547",10,30,15,23,16,35
"b3548",120,111,137,168,84,108
"b3549",132,107,138,198,137,124
"b3550",67,81,74,105,56,80
"b3551",503,511,538,687,475,583
"b3552",66,90,63,98,66,74
"b3553",1408,1163,1222,2880,1878,2388
"b3554",627,696,609,966,705,843
"b3555",112,92,121,104,73,72
"b3556",4016,5843,1725,5555,3088,3693
"b4455",3,6,1,6,1,5
"b3557",9,11,9,9,8,15
"b3558",20,14,6,18,8,21
"b3559",3496,3749,3454,6243,4405,5460
"b3560",1901,1754,1958,3112,2271,2783
"b4553",7,12,9,11,7,15
"b3561",28,36,34,44,33,29
"b3562",5,11,4,8,2,7
"b3563",2,5,0,5,6,4
"b3564",89,95,99,139,86,105
"b3565",41,41,29,87,44,77
"b3566",8,16,7,20,8,19
"b3567",42,45,39,109,66,71
"b3568",15,20,22,24,15,29
"b3569",103,104,95,165,125,143
"b3570",775,760,669,602,422,550
"b3571",70,102,79,265,177,188
"b3572",1692,1710,1497,2450,1592,2217
"b3573",110,106,99,154,81,113
"b3574",222,224,194,340,247,269
"b3575",6,13,3,11,8,4
"b3576",2,6,2,8,2,1
"b3577",2,4,0,3,1,1
"b3578",8,14,4,13,8,7
"b3579",6,10,3,9,6,4
"b3580",13,13,11,22,11,18
"b3581",12,9,10,16,15,13
"b3582",15,21,16,20,9,16
"b3583",36,18,14,55,33,27
"b3584",13,10,19,14,8,17
"b3585",43,47,32,67,68,67
"b3586",10,20,12,18,15,15
"b3587",4,3,1,2,0,2
"b3588",52,48,37,145,97,107
"b3589",7,11,2,8,6,4
"b3590",662,662,665,1143,776,999
"b3591",335,312,320,552,401,481
"b3592",166,148,153,297,156,246
